experiment_name,instance_name,algorithm_name,eta0,seed,T,gamma,u_star,final_utility,mean_utility,final_gap,mean_gap,final_avg_weight_gap,final_time_avg_gap,l1_error_to_w_star,final_w_0,final_w_1,final_w_2,final_w_3,w_star_0,w_star_1,w_star_2,w_star_3
variance_suite_eta_grid,beta_mixture_4,variance_mirror_ascent,1.0,100,500,0.02,0.10148558758314846,0.0819105590927656,0.0771572606785183,0.019575028490382868,0.024328326904630163,0.024321429049484283,0.024328326904630156,0.5387308703563656,0.34880416365883643,0.3418304011629804,0.17825563136196773,0.13110980381621537,0.4800000000000002,0.4799999999999995,0.02000000000000006,0.020000000000000302
variance_suite_eta_grid,beta_mixture_4,variance_mirror_ascent,1.0,200,500,0.02,0.10148558758314846,0.08052154296609701,0.07564345466999609,0.020964044617051453,0.025842132913152377,0.02583793225085318,0.0258421329131524,0.564858736241959,0.34075334641317406,0.3368172854658461,0.17584387201677937,0.14658549610420055,0.4800000000000002,0.4799999999999995,0.02000000000000006,0.020000000000000302
variance_suite_eta_grid,beta_mixture_4,variance_mirror_ascent,1.0,300,500,0.02,0.10148558758314846,0.07862679943423512,0.07451452236643413,0.022858788148913345,0.026971065216714326,0.026967515683256338,0.02697106521671434,0.6393731091062451,0.31517828658894703,0.3251351588579301,0.21640371875778555,0.14328283579533732,0.4800000000000002,0.4799999999999995,0.02000000000000006,0.020000000000000302
variance_suite_eta_grid,beta_mixture_4,variance_mirror_ascent,1.0,400,500,0.02,0.10148558758314846,0.08183878030141886,0.07729829803904287,0.0196468072817296,0.024187289544105588,0.024172334157472497,0.02418728954410562,0.5416977628614394,0.3525746450246373,0.33657647354464265,0.18037216750361298,0.1304767139271071,0.4800000000000002,0.4799999999999995,0.02000000000000006,0.020000000000000302
variance_suite_eta_grid,beta_mixture_4,variance_mirror_ascent,1.0,500,500,0.02,0.10148558758314846,0.08149249479521997,0.07724962181254658,0.01999309278792849,0.024235965770601883,0.0242288324799394,0.024235965770601862,0.5558070175432316,0.31966914050612344,0.36242735072226034,0.19152728281912074,0.12637622595249534,0.4800000000000002,0.4799999999999995,0.02000000000000006,0.020000000000000302
variance_suite_eta_grid,beta_mixture_4,variance_mirror_ascent,1.0,600,500,0.02,0.10148558758314846,0.07918713187951043,0.07499869268818844,0.02229845570363803,0.026486894894960016,0.026474704343938116,0.026486894894960023,0.6240805565526364,0.32567849349876427,0.32228122822491717,0.2118410757077812,0.14019920256853735,0.4800000000000002,0.4799999999999995,0.02000000000000006,0.020000000000000302
variance_suite_eta_grid,beta_mixture_4,variance_mirror_ascent,1.0,700,500,0.02,0.10148558758314846,0.08129620096973139,0.07659076821146854,0.02018938661341707,0.02489481937167992,0.024873596775656648,0.024894819371679925,0.5511005689079843,0.33974458520156814,0.3447051303444393,0.1780817204831065,0.13746856397088592,0.4800000000000002,0.4799999999999995,0.02000000000000006,0.020000000000000302
variance_suite_eta_grid,beta_mixture_4,variance_mirror_ascent,1.0,800,500,0.02,0.10148558758314846,0.08163352927034873,0.07663490115745275,0.019852058312799736,0.024850686425695715,0.024841256221159846,0.02485068642569572,0.5540792271018902,0.34080755677035884,0.3421528296786957,0.18905828286439919,0.12798133068654616,0.4800000000000002,0.4799999999999995,0.02000000000000006,0.020000000000000302
variance_suite_eta_grid,beta_mixture_4,variance_mirror_ascent,1.0,900,500,0.02,0.10148558758314846,0.08188660612151466,0.07779841334293641,0.019598981461633802,0.023687174240212036,0.023674117059605593,0.023687174240212047,0.5405019031052959,0.3395854334950812,0.35016361495227055,0.17982543163802425,0.13042551991462406,0.4800000000000002,0.4799999999999995,0.02000000000000006,0.020000000000000302
variance_suite_eta_grid,beta_mixture_4,variance_mirror_ascent,1.0,1000,500,0.02,0.10148558758314846,0.08049630094673083,0.07579872872127416,0.020989286636417637,0.0256868588618743,0.02565603938474431,0.025686858861874298,0.5675074450563404,0.3184743177549483,0.3577719597168812,0.1813727441176153,0.14238097841055528,0.4800000000000002,0.4799999999999995,0.02000000000000006,0.020000000000000302
variance_suite_eta_grid,beta_mixture_4,variance_if_ascent,1.0,100,500,0.02,0.10148558758314846,0.09450375696578378,0.09314753733194363,0.006981830617364682,0.00833805025120484,0.008188922506466134,0.008338050251204843,0.21868987617560365,0.415794338942569,0.4348607229696288,0.10691238401977596,0.04243255406802617,0.4800000000000002,0.4799999999999995,0.02000000000000006,0.020000000000000302
variance_suite_eta_grid,beta_mixture_4,variance_if_ascent,1.0,200,500,0.02,0.10148558758314846,0.07640832020325639,0.06914912507800937,0.025077267379892076,0.0323364625051391,0.03231023331833477,0.032336462505139094,0.5981587186822712,0.3023762868849568,0.3585443537739072,0.12592582820516138,0.21315353113597457,0.4800000000000002,0.4799999999999995,0.02000000000000006,0.020000000000000302
variance_suite_eta_grid,beta_mixture_4,variance_if_ascent,1.0,300,500,0.02,0.10148558758314846,0.08359243119495041,0.07882415782624741,0.01789315638819805,0.022661429756901046,0.022539419981733977,0.022661429756901073,0.45403015231117566,0.32727629133123176,0.40570863251318007,0.1341086161074017,0.13290646004818646,0.4800000000000002,0.4799999999999995,0.02000000000000006,0.020000000000000302
variance_suite_eta_grid,beta_mixture_4,variance_if_ascent,1.0,400,500,0.02,0.10148558758314846,0.05301532738014758,0.05176513166007361,0.04847026020300088,0.04972045592307485,0.04971211434632622,0.049720455923074836,1.5186469242330538,0.047279495354598244,0.1533970425288745,0.641765437884069,0.15755802423245815,0.4800000000000002,0.4799999999999995,0.02000000000000006,0.020000000000000302
variance_suite_eta_grid,beta_mixture_4,variance_if_ascent,1.0,500,500,0.02,0.10148558758314846,0.08732620630466437,0.08370996286764643,0.014159381278484096,0.017775624715502026,0.017615811872225884,0.01777562471550202,0.36143019731724324,0.3462321615431899,0.4330527397981881,0.11817319422953651,0.10254190442908542,0.4800000000000002,0.4799999999999995,0.02000000000000006,0.020000000000000302
variance_suite_eta_grid,beta_mixture_4,variance_if_ascent,1.0,600,500,0.02,0.10148558758314846,0.07071784493199573,0.06660791290111812,0.03076774265115273,0.03487767468203036,0.03486140505262081,0.034877674682030325,0.8023255852936354,0.18681624961545307,0.372020957737729,0.2890729735748673,0.15208981907195082,0.4800000000000002,0.4799999999999995,0.02000000000000006,0.020000000000000302
variance_suite_eta_grid,beta_mixture_4,variance_if_ascent,1.0,700,500,0.02,0.10148558758314846,0.06853883616824308,0.06335412093453553,0.032946751414905384,0.03813146664861294,0.03812179128159909,0.03813146664861297,0.9172101281292456,0.21488224887139074,0.2865126870639861,0.30845171646373926,0.19015334760088384,0.4800000000000002,0.4799999999999995,0.02000000000000006,0.020000000000000302
variance_suite_eta_grid,beta_mixture_4,variance_if_ascent,1.0,800,500,0.02,0.10148558758314846,0.08578483517325852,0.08133778755079615,0.01570075240988994,0.020147800032352323,0.020054551973510137,0.020147800032352312,0.42631962484308217,0.39765003349805905,0.34919015408039955,0.14518061937029017,0.1079791930512513,0.4800000000000002,0.4799999999999995,0.02000000000000006,0.020000000000000302
